provincescode,bpscode,provincesname
ID.JT.MG,3371,"Magelang, Kota"
ID.JT.SK,3372,"Surakarta, Kota"
ID.JT.SA,3373,"Salatiga, Kota"
ID.JT.SE,3374,"Semarang, Kota"
ID.JT.PM,3375,"Pekalongan, Kab."
ID.JT.TE,3376,"Tegal, Kota"
ID.YO.KP,3401,"Kulon Progo, Kab."
ID.YO.BA,3402,"Bantul, Kab."
ID.YO.GK,3403,"Gunung Kidul, Kab."
ID.YO.SL,3404,"Sleman, Kab."
ID.YO.YO,3471,"Yogyakarta, Kota"
ID.JI.PC,3501,"Pacitan, Kab."
ID.JI.PG,3502,"Ponorogo, Kab."
ID.JI.TR,3503,"Trenggalek, Kab."
ID.JI.TG,3504,"Tulungagung, Kab."
ID.JI.BR,3505,"Blitar, Kab."
ID.JI.KR,3506,"Kediri, Kab."
ID.JI.MG,3507,"Malang, Kab."
ID.JI.LU,3508,"Lumajang, Kab."
ID.JI.JE,3509,"Jember, Kab."
ID.JI.BW,3510,"Banyuwangi, Kab."
ID.JI.BD,3511,"Bondowoso, Kab."
ID.JI.SB,3512,"Situbondo, Kab."
ID.JI.PL,3513,"Probolinggo, Kab."
ID.JI.PR,3514,"Pasuruan, Kab."
ID.JI.SD,3515,"Sidoarjo, Kab."
ID.JI.MK,3516,"Mojokerto, Kab."
ID.JI.JO,3517,"Jombang, Kab."
ID.JI.NJ,3518,"Nganjuk, Kab."
ID.JI.MN,3519,"Madiun, Kab."
ID.JI.MT,3520,"Magetan, Kab."
ID.JI.NW,3521,"Ngawi, Kab."
ID.JI.BJ,3522,"Bojonegoro, Kab."
ID.JI.TB,3523,"Tuban, Kab."
ID.JI.LA,3524,"Lamongan, Kab."
ID.JI.GR,3525,"Gresik, Kab."
ID.JI.BK,3526,"Bangkalan, Kab."
ID.JI.SA,3527,"Sampang, Kab."
ID.JI.PK,3528,"Pamekasan, Kab."
ID.JI.SM,3529,"Sumenep, Kab."
ID.JI.KD,3571,"Kediri, Kota"
ID.JI.BL,3572,"Blitar, Kota"
ID.JI.ML,3573,"Malang, Kota"
ID.JI.PO,3574,"Probolinggo, Kota"
ID.JI.PS,3575,"Pasuruan, Kota"
ID.JI.MJ,3576,"Mojokerto, Kota"
ID.JI.MD,3577,"Madiun, Kota"
ID.JI.SR,3578,"Surabaya, Kota"
ID.JI.BA,3579,"Batu, Kota"
ID.BT.PA,3601,"Pandeglang, Kab."
ID.BT.LE,3602,"Lebak, Kab."
ID.BT.SE,3604,"Serang, Kab."
ID.BT.TM,3609,"Tangerang, Kab."
ID.BT.TN,3671,"Tangerang, Kota"
ID.BT.CL,3672,"Cilegon, Kota"
ID.BT.SR,3673,"Serang, Kota"
ID.BT.TS,3674,"Tangerang Selatan, Kota"
ID.BA.JE,5101,"Jembrana, Kab."
ID.BA.TA,5102,"Tabanan, Kab."
ID.BA.BD,5103,"Badung, Kab."
ID.BA.GI,5104,"Gianyar, Kab."
ID.BA.KL,5105,"Klungkung, Kab."
ID.BA.BN,5106,"Bangli, Kab."
ID.BA.KA,5107,"Karangasem, Kab."
ID.BA.BL,5108,"Buleleng, Kab."
ID.BA.DE,5171,"Denpasar, Kota"
ID.NB.LB,5201,"Lombok Barat, Kab."
ID.NB.LT,5202,"Lombok Tengah, Kab."
ID.NB.LI,5203,"Lombok Timur, Kab."
